"Timestamp","How old are you?","Where are you on the spectrum of non-serious to serious dating style? I understand we can go through multiple phases of dating styles in our lives, but try to choose a number that best describes your dating style history. How do you usually approach dating? 

1. free spirit
- I typically do not search for any form of commitment 
- I date in search of pleasure and fun 
- I do not want a relationship
- possible examples: one-night stands, flings, a bae for the night 
2. the only feelings i want to feel is an orgasm 
- AKA “friends with benefits”
- I typically have relationships with people that can involve casual sex, non-exclusivity, fun and pleasure
- not a romantic relationship, more of a sexual relationship 
3. here for a good time, and if i like you enough, maybe for a long time (not really that long usually)
- AKA “situation-ships”
- I typically have relationships with people that can involve casual sex, connection, fun and pleasure
- can mimic emotional vulnerability of a monogamous relationship, without the monogamy
4. go-er with the flow-er
- CAN be a mix of 3 and 5 dating style
- not necessarily searching for a relationship or situation-ship
- hence the name, I go with the flow 
5. maybe they're the one! or at least one of the ones!
- I am typically a relationship person, but I date mostly for fun (short or long term relationships)
- romantic and/or sexual relationship
- possible reasons: young, able to be monogamous but not thinking about marriage, want to avoid STDs by having one sexual partner at a time (however, the terms of exclusivity is subjective to each relationship)
- this also includes serial daters: person who jumps from one relationship to another 
6. cohabiter
- I date to date and then after a period of time, I will consider marriage
- cohabitation: a long-term relationship, can be living together, have sexual and/or romantic relationship, but NOT married
- common amongst young people as well
7. 4lifer. i don't want anyone else, but you!
- dating to marry
- I am only going to date someone if I think I will eventually marry them 
- when I date someone, I think about my future with them and I think my s/o will potentially be my partner/husband/wife
- a deal breaker if I do not see a future with them","Approximate how many people you have explored a connection with TOTAL (failed and successful)
- situationships
- people you have been on dates with/have dated 
- friends with benefits
- people you met on Hinge, Bumble, possibly Tinder for some circumstances
- not necessarily asking if physical intimacy was explored with said person 
- in general, anyone you have tried pursuing ","How many of those explored connections were meaningful?"
"2022/12/22 4:34:51 PM PST","21","5","2","1"
"2022/12/22 4:35:49 PM PST","21","5","8","4"
"2022/12/22 4:37:41 PM PST","80","2","10000","1"
"2022/12/22 4:38:05 PM PST","20","6","3","2"
"2022/12/22 4:40:48 PM PST","21","6","6","1"
"2022/12/22 4:42:53 PM PST","21","3","7","3"
"2022/12/22 4:43:18 PM PST","21","6","3","1"
"2022/12/22 4:49:14 PM PST","30","1","30","30"
"2022/12/22 4:55:18 PM PST","23","6","10","5"
"2022/12/22 5:03:05 PM PST","21","7","5","3"
"2022/12/22 5:14:59 PM PST","21","5","15","15"
"2022/12/22 5:18:17 PM PST","21","5","8","2"
"2022/12/22 5:26:47 PM PST","21","6","8","4"
"2022/12/22 5:27:07 PM PST","21","4","3","2"
"2022/12/22 5:43:01 PM PST","26","5","3","1"
"2022/12/22 5:44:37 PM PST","21","6","6","2"
"2022/12/22 5:47:30 PM PST","20","6","7","1"
"2022/12/22 5:51:20 PM PST","21","6","5","3"
"2022/12/22 7:11:20 PM PST","21","3","8","5"
"2022/12/22 7:13:35 PM PST","22","6","10","3"
"2022/12/22 8:38:46 PM PST","21","5","10 ","9 "
"2022/12/22 8:40:02 PM PST","22","5","4","2"
"2022/12/22 9:29:41 PM PST","22","4","9","2"
"2022/12/22 9:57:16 PM PST","21","4","4","4"
"2022/12/22 10:06:38 PM PST","20","1","2","1"
"2022/12/22 10:41:15 PM PST","21","7","4","2"
"2022/12/22 11:12:59 PM PST","21","7","5","4"
"2022/12/22 11:38:51 PM PST","23","5","60","4"
"2022/12/23 1:02:33 AM PST","22","7","8","1"
"2022/12/23 1:58:24 AM PST","21","4","50","15"
"2022/12/23 2:06:28 AM PST","21","7","4","2"
"2022/12/23 11:11:08 AM PST","18","7","5","3"
"2022/12/23 4:44:01 PM PST","21","5","2","1"
"2022/12/23 5:16:42 PM PST","19","4","20","4"
"2022/12/23 5:17:19 PM PST","19","4","6","2"
"2022/12/23 5:18:43 PM PST","18","4","10","4"
"2022/12/23 5:35:24 PM PST","22","3","5","2"
"2022/12/23 5:44:42 PM PST","18","6","5","2"
"2022/12/23 5:53:31 PM PST","23","5","30","3"
"2022/12/23 5:54:19 PM PST","20","4","20","2"
"2022/12/23 5:54:27 PM PST","21","6","15","4"
"2022/12/23 5:57:11 PM PST","19","4","0","0"
"2022/12/23 5:58:35 PM PST","19","1","2","0"
"2022/12/23 6:00:49 PM PST","20","4","7","4"
"2022/12/23 6:09:18 PM PST","21","5","20","5"
"2022/12/23 6:11:47 PM PST","20","5","3","1"
"2022/12/23 6:16:42 PM PST","22","6","3","2"
"2022/12/23 6:29:51 PM PST","21","1","3","2"
"2022/12/23 6:32:25 PM PST","21","5","20","8"
"2022/12/23 6:33:14 PM PST","22","7","10","4"
"2022/12/23 6:34:34 PM PST","21","3","3","2"
"2022/12/23 6:40:41 PM PST","21","7","2","1"
"2022/12/23 7:11:33 PM PST","22","6","4","4"
"2022/12/23 7:25:03 PM PST","21","6","2","1"
"2022/12/23 8:17:32 PM PST","30","1","30","30"
"2022/12/23 10:54:32 PM PST","18","7","2","1"
"2022/12/23 11:22:40 PM PST","20","7","3","2"
"2022/12/23 11:42:52 PM PST","20","7","3","3"
"2022/12/23 11:46:05 PM PST","18","7","2","2"
"2022/12/24 8:11:09 AM PST","22","4","4","3"
"2022/12/24 9:30:53 AM PST","20","3","30","4"
"2022/12/24 10:28:53 AM PST","22","4","7","3"
"2022/12/24 10:34:54 AM PST","21","4","30","15"
"2022/12/24 11:20:54 AM PST","22","4","12","0"
"2022/12/24 11:43:10 AM PST","22","1","8","4"
"2022/12/24 3:49:02 PM PST","19","4","6","4"
"2022/12/24 4:50:31 PM PST","21","5","3","2"
"2022/12/24 5:33:27 PM PST","24","4","5","2"
"2022/12/24 6:13:31 PM PST","24","4","2","1"
"2022/12/24 7:56:58 PM PST","17","4","20","3"
"2022/12/24 7:57:01 PM PST","16","4","10","3"
"2022/12/24 7:58:23 PM PST","19","5","3","1"
"2022/12/24 10:35:55 PM PST","21","5","8","2"
"2022/12/25 3:21:41 PM PST","20","6","3","2"
"2022/12/25 4:09:12 PM PST","19","7","3","1"
"2022/12/25 4:11:58 PM PST","19","5","10","5"
"2022/12/25 4:21:04 PM PST","19","3","7","2"
"2022/12/25 4:29:46 PM PST","19","7","1","1"
"2022/12/25 6:57:07 PM PST","21","4","12","7"
"2022/12/25 8:31:09 PM PST","20","5","5","3"
"2022/12/25 10:08:54 PM PST","21","4","3","2"
"2022/12/25 11:40:11 PM PST","24","4","15","15"
"2022/12/26 12:12:02 AM PST","22","3","4","4"
"2022/12/26 12:28:08 AM PST","22","5","15","8"
"2022/12/26 5:00:34 AM PST","22","4","11","7"
"2022/12/26 10:31:28 AM PST","23","1","35","11"
"2022/12/26 11:27:46 AM PST","20","3","6","2"
"2022/12/26 11:37:49 AM PST","20","5","1","0 "
"2022/12/26 11:38:19 AM PST","21","3","4","1"
"2022/12/26 11:44:18 AM PST","21","4","30","5"
"2022/12/26 11:45:40 AM PST","19","4","11","3"
"2022/12/26 11:49:26 AM PST","21","3","10","4"
"2022/12/26 11:51:01 AM PST","22","3","8","5"
"2022/12/26 11:57:24 AM PST","18","4","8","1"
"2022/12/26 12:10:13 PM PST","20","7","80","25"
"2022/12/26 12:23:34 PM PST","22","5","2","1"
"2022/12/26 12:25:21 PM PST","20","3","4","2"
"2022/12/26 12:30:59 PM PST","23","4","15","5"
"2022/12/26 12:37:50 PM PST","22","3","20","10"
"2022/12/26 12:43:09 PM PST","21","3","34","15"
"2022/12/26 1:32:21 PM PST","21","3","14","2"
"2022/12/26 1:45:26 PM PST","22","7","8","2"
"2022/12/26 4:08:28 PM PST","25","7","257","3"
"2022/12/26 4:11:09 PM PST","20","1","5","2"
"2022/12/27 2:35:17 PM PST","23","4","4","4"
"2022/12/27 5:16:38 PM PST","21","1","6","3"
"2023/01/06 4:51:03 PM PST","21","4","5","4"
